2024-10-31 23:01:47.303265 - WARNING: Plugins directory 'abc' not found.
2024-10-31 23:04:59.307994 - INFO: Command 'add' from plugin 'add' registered.
2024-10-31 23:04:59.308429 - INFO: Command 'clear_history' from plugin 'clear_history' registered.
2024-10-31 23:04:59.308525 - INFO: Command 'divide' from plugin 'divide' registered.
2024-10-31 23:04:59.308789 - INFO: Command 'greet' from plugin 'greet' registered.
2024-10-31 23:04:59.309099 - INFO: Command 'menu' from plugin 'menu' registered.
2024-10-31 23:04:59.309165 - INFO: Command 'multiply' from plugin 'multiply' registered.
2024-10-31 23:04:59.309688 - INFO: Command 'read_history' from plugin 'read_history' registered.
2024-10-31 23:04:59.309876 - INFO: Command 'subtract' from plugin 'subtract' registered.
2024-10-31 23:06:45.968512 - INFO: Command 'add' from plugin 'add' registered.
2024-10-31 23:06:45.969031 - INFO: Command 'clear_history' from plugin 'clear_history' registered.
2024-10-31 23:06:45.969136 - INFO: Command 'divide' from plugin 'divide' registered.
2024-10-31 23:06:45.969387 - INFO: Command 'greet' from plugin 'greet' registered.
2024-10-31 23:06:45.969617 - INFO: Command 'menu' from plugin 'menu' registered.
2024-10-31 23:06:45.969696 - INFO: Command 'multiply' from plugin 'multiply' registered.
2024-10-31 23:06:45.969911 - INFO: Command 'read_history' from plugin 'read_history' registered.
2024-10-31 23:06:45.969970 - INFO: Command 'subtract' from plugin 'subtract' registered.
2024-10-31 23:11:03.714068 - INFO: Command 'add' from plugin 'add' registered.
2024-10-31 23:11:03.714452 - INFO: Command 'clear_history' from plugin 'clear_history' registered.
2024-10-31 23:11:03.714547 - INFO: Command 'divide' from plugin 'divide' registered.
2024-10-31 23:11:03.714789 - INFO: Command 'greet' from plugin 'greet' registered.
2024-10-31 23:11:03.715102 - INFO: Command 'menu' from plugin 'menu' registered.
2024-10-31 23:11:03.717726 - INFO: Command 'multiply' from plugin 'multiply' registered.
2024-10-31 23:11:03.718298 - INFO: Command 'read_history' from plugin 'read_history' registered.
2024-10-31 23:11:03.718363 - INFO: Command 'subtract' from plugin 'subtract' registered.
